ENSMUSG00000092686,Gm25745
ENSMUSG00000092731,Gm24026
ENSMUSG00000092812,Gm23634
ENSMUSG00000092822,Gm23162
ENSMUSG00000092825,Gm23164
ENSMUSG00000093031,Gm22662
ENSMUSG00000093107,Mir1839
ENSMUSG00000093124,Gm24366
ENSMUSG00000093164,Gm22993
ENSMUSG00000093264,Gm23419
ENSMUSG00000093319,Gm27854
ENSMUSG00000093404,Gm25190
ENSMUSG00000093409,Gm25193
ENSMUSG00000093495,Gm23368
ENSMUSG00000093514,Gm28727
ENSMUSG00000093529,Gm25397
ENSMUSG00000093734,Gm25082
ENSMUSG00000093762,Gm25591
ENSMUSG00000093807,Gm23620
ENSMUSG00000093816,Gm26445
ENSMUSG00000093831,Gm23144
ENSMUSG00000093834,Rnu1b2
ENSMUSG00000093843,Gm25939
ENSMUSG00000093932,Gm25525
ENSMUSG00000093952,n-R5s195
ENSMUSG00000093999,Gm26501
ENSMUSG00000094199,Gm25450
ENSMUSG00000094229,Gm22969
ENSMUSG00000094251,Gm25632
ENSMUSG00000094292,Gm23610
ENSMUSG00000094366,Gm23730
ENSMUSG00000094394,Gm23402
ENSMUSG00000094411,Snord16a
ENSMUSG00000094452,Gm22623
ENSMUSG00000094489,Gm23269
ENSMUSG00000094515,Gm24567
ENSMUSG00000094551,Gm22392
ENSMUSG00000094605,Gm25873
ENSMUSG00000094620,Cldn34c3
ENSMUSG00000094668,Gm24871
ENSMUSG00000094726,Gm23355
ENSMUSG00000094768,Gm25524
ENSMUSG00000094817,Cphx3
ENSMUSG00000094830,n-R5s194
ENSMUSG00000094833,Gm25473
ENSMUSG00000094869,Gm21679
ENSMUSG00000094938,Gm23092
ENSMUSG00000094963,Gm22418
ENSMUSG00000094976,Gm25257
ENSMUSG00000095086,Gm25327
ENSMUSG00000095112,Gm23712
ENSMUSG00000095116,Gm23714
ENSMUSG00000095178,Gm22716
ENSMUSG00000095233,Gm26378
ENSMUSG00000095272,Gm24242
ENSMUSG00000095297,Gm25381
ENSMUSG00000095502,Gm22450
ENSMUSG00000095580,Rnu1b1
ENSMUSG00000095584,Gm22628
ENSMUSG00000095590,Gm24305
ENSMUSG00000095678,Gm25101
ENSMUSG00000095720,Gm1604b
ENSMUSG00000095723,Gm23647
ENSMUSG00000095729,Gm23649
ENSMUSG00000095731,Gm25312
ENSMUSG00000095752,Gm24182
ENSMUSG00000095857,Gm22618
ENSMUSG00000095868,Gm23136
ENSMUSG00000095878,Gm23045
ENSMUSG00000095915,n-R5s115
ENSMUSG00000095972,Gm23512
ENSMUSG00000096005,Gm24863
ENSMUSG00000096037,n-R5s136
ENSMUSG00000096043,Gm24968
ENSMUSG00000096082,Gm24711
ENSMUSG00000096091,Gm26335
ENSMUSG00000096124,Gm22308
ENSMUSG00000096126,Gm22307
ENSMUSG00000096147,Gm25818
ENSMUSG00000096211,Gm23330
ENSMUSG00000096222,Gm25412
ENSMUSG00000096241,Gm24267
ENSMUSG00000096280,Gm23287
ENSMUSG00000096322,Gm3898
ENSMUSG00000096349,Gm22513
ENSMUSG00000096391,Gm23686
ENSMUSG00000096434,Gm22129
ENSMUSG00000096563,Gm24095
ENSMUSG00000096567,Gm24098
ENSMUSG00000096659,Gm25679
ENSMUSG00000096684,Gm25989
ENSMUSG00000096851,Gm22756
ENSMUSG00000096895,Gm25245
ENSMUSG00000096926,Gm26823
