NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
EEF1A1	1	Eef1a1	
PCP4	1	Pcp4	
TMX4	1	Tmx4	
TYROBP	1	Tyrobp	
C9orf116	1	1700007K13Rik	
ADAM1A	1	Adam1a	
FETUB	1	Fetub	
WDFY4	1	Wdfy4	
FBN2	1	Fbn2	
C20orf144	1	1700003F12Rik	
UTP25	1	Utp25	
CALCA	1	Calca	
CALCB	1	Calcb	
RTN1	1	Rtn1	
ATP5MC2	1	Atp5g2	
HTRA1	1	Htra1	
PLD4	1	Pld4	
GLYAT	1	Glyat	
BHLHE23	1	Bhlhe23	
NDRG1	1	Ndrg1	
ADGRG3	1	Adgrg3	
NME1-NME2	1	Nme2	
CNN1	1	Cnn1	
WNT6	1	Wnt6	
ADGRG1	1	Adgrg1	
TMEM245	1	Tmem245	
CALCR	1	Calcr	
CYP11A1	1	Cyp11a1	
CYTL1	1	Cytl1	
TAC3	1	Tac2	
TAC1	1	Tac1	
WNT1	1	Wnt1	
MAGEA10	1	3830417A13Rik	
CNMD	1	Lect1	
PRPH	1	Prph	
SYT4	1	Syt4	
TFAP2B	1	Tfap2b	
NIBAN3	1	Niban3	
NIBAN2	1	Niban2	
VCAM1	1	Vcam1	
SYT1	1	Syt1	
UBE2C	1	Ube2c	
CAV1	1	Cav1	
RARRES2	1	Rarres2	
CHCHD10	1	Chchd10	
GGH	1	Ggh	
HMGA2	1	Hmga2	
ISG15	1	Isg15	
INHBA	1	Inhba	
CYRIB	1	Cyrib	
SSH2	1	Ssh2	
MT3	1	Mt3	
PHOX2B	1	Phox2b	
BMP4	1	Bmp4	
AFDN	1	Afdn	
AHI1	1	Ahi1	
COL5A1	1	Col5a1	
FAM151A	1	Fam151a	
UBE2S	1	Ube2s	
FGF19	1	Fgf15	
COL5A2	1	Col5a2	
MKRN1	1	Mkrn1	
NXF2B	1	Nxf7	
ALPL	1	Alpl	
PHF13	1	Phf13	
TCF4	1	Tcf4	
OSTN	1	Ostn	
RTP4	1	Rtp4	
SNED1	1	Sned1	
RHOXF1	1	Rhox12	
PODXL2	1	Podxl2	
CPXM2	1	Cpxm2	
MS4A7	1	Ms4a7	
ATP2A3	1	Atp2a3	
LAMC1	1	Lamc1	
AFF3	1	Aff3	
DMKN	1	Dmkn	
SEPTIN11	1	Septin11	
ADGRE1	1	Adgre1	
CALB2	1	Calb2	
CALB1	1	Calb1	
CA3	1	Car3	
CA2	1	Car2	
CA4	1	Car4	
GRM8	1	Grm8	
CA6	1	Car6	
CFAP46	1	Cfap46	
CPXM1	1	Cpxm1	
CYREN	1	Cyren	
CYTIP	1	Cytip	
OLIG3	1	Olig3	
PLA2G4D	1	Pla2g4d	
UTP11	1	Utp11	
MMP2	1	Mmp2	
PLA2G4B	1	Pla2g4b	
MMP3	1	Mmp3	
ETV1	1	Etv1	
TENT5A	1	Fam46a	
MMP8	1	Mmp8	
SSTR2	1	Sstr2	
MMP9	1	Mmp9	
H2BC18	1	H2bc18	
ACTA2	1	Acta2	
RCN3	1	Rcn3	
ACTA1	1	Acta1	
H2BC13	1	H2bc13	
ELF3	1	Elf3	
VGF	1	Vgf	
DPPA3	1	Dppa3	
IRF4	1	Irf4	
IRF1	1	Irf1	
MYOD1	1	Myod1	
ADGRF5	1	Adgrf5	
GFOD2	1	Gfod2	
IFIT1B	2	Ifit1bl1:Ifit1bl2	
CHI3L1	1	Chil1	
DPPA5	1	Dppa5a	
INA	1	Ina	
MS4A1	1	Ms4a1	
SCN4B	1	Scn4b	
FBP2	1	Fbp2	
LAMA5	1	Lama5	
BCL2A1	1	Bcl2a1b	
DAPL1	1	Dapl1	
LAMA1	1	Lama1	
DBX1	1	Dbx1	
CRMP1	1	Crmp1	
RETN	1	Retn	
FTHL17	1	Fthl17a	
IL1RL1	1	Il1rl1	
GNG3	1	Gng3	
MKNK2	1	Mknk2	
GNG8	1	Gng8	
TDH	1	Tdh	
SLIT2	1	Slit2	
CRYM	1	Crym	
ATOH1	1	Atoh1	
CHGA	1	Chga	
S100G	1	S100g	
BNIP3	1	Bnip3	
CCK	1	Cck	
LAMB1	1	Lamb1	
ATP2B1	1	Atp2b1	
EPOP	1	Epop	
IRGM	1	Igtp	
SOD3	1	Sod3	
HS3ST1	1	Hs3st1	
ADGRD1	1	Adgrd1	
ACTC1	1	Actc1	
COL7A1	1	Col7a1	
TBX10	1	Tbx10	
CD9	1	Cd9	
PTX3	1	Ptx3	
THRSP	1	Thrsp	
VIM	1	Vim	
VIP	1	Vip	
CYFIP2	1	Cyfip2	
PNMT	1	Pnmt	
TRIR	1	Trir	
CDA	1	Cda	
RPL5	1	Gm15500	
EHF	1	Ehf	
RPL3	1	Rpl3	
RPL32	1	Rpl32	
SERPINE2	1	Serpine2	
RPL31	1	Rpl31-ps8	
DQX1	1	Dqx1	
COL12A1	1	Col12a1	
SERPINE1	1	Serpine1	
GPATCH2	1	Gpatch2	
IPP	1	Ipp	
STMN2	1	Stmn2	
STMN3	1	Stmn3	
DMP1	1	Dmp1	
STMN4	1	Stmn4	
UPK3BL1	1	Upk3bl	
MICOS13	1	Micos13	
SLC4A2	1	Slc4a2	
MICOS10	1	Micos10	
RPL8	1	Rpl8	
ENO3	1	Eno3	
NAA80	1	Naa80	
HOXA9	1	Hoxa9	
SOX17	1	Sox17	
GPR171	1	Gpr171	
STMN1	1	Stmn1	
AP1S2	1	Ap1s2	
RPL35	1	Gm2000	
PROK2	1	Prok2	
RPL38	1	Rpl38	
PRSS8	1	Prss8	
RPL37	2	Rpl37rt:Rpl37	
PRSS3	1	Try5	
RPL39	1	Rpl39	
HOXA5	1	Hoxa5	
CHGB	1	Chgb	
IER3	1	Ier3	
SULT2A1	1	Sult2a8	
ADGB	1	Adgb	
PRKCB	1	Prkcb	
SERPINF1	1	Serpinf1	
KRTAP17-1	1	Krtap17-1	
SOX11	1	Sox11	
DKK1	1	Dkk1	
SOX10	1	Sox10	
DKK2	1	Dkk2	
DKK4	1	Dkk4	
BCAM	1	Bcam	
BIN1	1	Bin1	
MAP1B	1	Map1b	
FDX2	1	Fdx2	
ANOS1	1	Wfdc17	
ACOT1	1	Acot1	
SERPING1	1	Serping1	
HOXB2	1	Hoxb2	
PRKCQ	1	Prkcq	
HOXB1	1	Hoxb1	
HOXB6	1	Hoxb6	
LINC00643	1	1700086L19Rik	
HOXB5	1	Hoxb5	
MEG3	1	Meg3	
RD3	1	Rd3	
LIPT1	1	Lipt1	
ENPEP	1	Enpep	
TPH1	1	Tph1	
SNU13	1	Snu13	
ADH7	1	Adh7	
PLAC8	1	Plac8	
LDHB	1	Ldhb	
LDHA	1	Ldha	
S100A16	1	S100a16	
PRDX1	1	Prdx1	
PTPMT1	1	Ptpmt1	
ALX3	1	Alx3	
PLCG2	1	Plcg2	
S100A13	1	S100a13	
SERPINH1	1	Serpinh1	
PCDHA4	1	Gm37013	
HMOX1	1	Hmox1	
PLAC1	1	Plac1	
ST3GAL6	1	St3gal6	
S100A14	1	S100a14	
CGA	1	Cga	
HOXC8	1	Hoxc8	
HLA-DQA1	1	H2-Aa	
S100A11	1	S100a11	
GSDMD	1	Gsdmd	
RPL41	1	Rpl41	
THAP12	1	Thap12	
SLC16A11	1	Slc16a11	
NR1D2	1	Nr1d2	
GJB2	1	Gjb2	
GJB3	1	Gjb3	
GJB6	1	Gjb6	
GJB5	1	Gjb5	
PNOC	1	Pnoc	
CYP1A1	1	Cyp1a1	
SERPINI1	1	Serpini1	
ADA	1	Ada	
BPIFC	1	Bpifc	
GAPT	1	Gapt	
CDKN1C	1	Cdkn1c	
RET	1	Ret	
SERPINA3	2	Serpina3n:Serpina3g	
BTG2	1	Btg2	
CDKN1A	1	Cdkn1a	
BTG1	1	Btg1	
SERPINA1	2	Serpina1c:Serpina1d	
TINAGL1	1	Tinagl1	
YJEFN3	1	Yjefn3	
ELN	1	Eln	
PRSS27	1	Prss27	
ADM	1	Adm	
FMN1	1	Fmn1	
PRSS22	1	Prss22	
PRSS23	1	Prss23	
MS4A4A	1	Ms4a4b	
C11orf98	1	1810009A15Rik	
RNF157	1	Rnf157	
C1QTNF3	1	C1qtnf3	
CSRP3	1	Csrp3	
PIP4P1	1	Pip4p1	
LCE5A	1	Lce1g	
TMSB4X	1	Tmsb4x	
MRC1	1	Mrc1	
RACK1	1	Rack1	
RSPO3	1	Rspo3	
TIMP3	1	Timp3	
ELOB	1	Elob	
ELOC	1	Eloc	
RSPO1	1	Rspo1	
TIMP1	1	Timp1	
HAVCR1	1	Timd2	
RAB5IF	1	Rab5if	
FCRL2	1	Fcrls	
